,,,,Broughton Island,,,,,,,,Fingal island,,,,,,,,,,Botany Bay,,,,,,,,,,,,,,Lake Macquarie,,,,,,,
,Broughton_15_Sum,Broughton_15_Sum,Broughton_15_Win,Broughton_15_Win,Broughton_16_Sum,Broughton_16_Sum,Broughton_16_Win,Broughton_16_Win,Fingal_15_Sum,Fingal_15_Sum,Fingal_15_Win,Fingal_15_Win,Fingal_16_Sum,Fingal_16_Sum,Fingal_16_Win,Fingal_16_Win,BB_Seagrass_2018,BB_Artificial Reef_2018,BB_Natural Reef_2018,BB_Seagrass_2019,BB_Artifical Reef_2019,BB_Natural Reef_2019,BB_Seagrass_2019,BB_ArtificialReef_2019,BB_NaturalReef_2019,BB_Artificial Reef_2020,BB_Natural Reef_2020,BB_Seagrass_2020,LMQ_Artifcial Reef_2018,LMQ_Natural Reef_2018,LMQ_Seagrass_2018,LMQ_Artifcial Reef_2018,LMQ_Natural Reef_2018,LMQ_Seagrass_2018,LMQ_Artifcial Reef_2019,LMQ_Natural Reef_2019,LMQ_Seagrass_2019,LMQ_Artifcial Reef_2019,LMQ_Natural Reef_2019,LMQ_Seagrass_2019,LMQ_Artifcial Reef_2019,LMQ_Natural Reef_2019,LMQ_Seagrass_2019
Demersal Piscivorous Sharks,0,1.4163E-05,0.101479907,0.060027518,0,0.002360802,0.163839015,0.061635195,0,0,0.020530446,0,0.377348884,5.04856E-05,0.022641498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal Non Piscivorous Sharks,0.002226105,0,0.077201453,0.002038116,0,9.58746E-07,0.00433531,0.004197209,0.108661404,0.107767901,0.287924993,0.342920869,0.202307978,0.000104491,0.282667473,0.000314205,0,0,0,0,0,0.934845916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coastal Piscivores,0,0.999585741,0,0.136726265,0.999814957,0.996511206,0,0,0,0.156798887,0,0.021115452,0.012612985,0.999115385,0,0.998388063,0,0,0,0,0,0,0,0,0,0.020936279,0.640053747,0,0,0.981799378,0,0,0,0,0,0,0,0.876246639,0,0,0,0,0
Demersal Non Piscivores,0.462081556,0.000209138,0.396847799,0.440255116,4.73002E-05,0.000516139,0.257113001,0.400678508,0.226880113,0.222493024,0.244914299,0.346842934,0.151942706,0.000160823,0.191569211,0.0003801,0.415919757,0.124928749,0.212944894,0,0.29221143,0.053359384,0.090067873,0.118805332,0.420582795,0.438217892,0.160891127,0,0.571158913,0.008488175,0,0.236254774,0.416899547,0.189958842,0.310145545,0.604875716,0,0.055044446,0.28022677,0,0.500853177,0.529292796,0.841458937
Reef Piscivores,0.054447387,3.0131E-05,0.079386405,0.054926239,9.54376E-06,4.54069E-05,0.168089623,0.118975464,0.023360099,0.018172983,0.055768247,0.057721898,0.034849581,3.69902E-05,0.062749355,9.67944E-05,0,0,0.060156886,0,0,0,0,0.05934142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014117423,0,0,0,0,0
Cephalopoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rays,0.148285452,3.47015E-05,0.019126264,0.039597569,1.86897E-05,0.000306845,0.060163327,0.197435224,0.129048462,0.417921832,0.149246434,0.139742752,0.131290203,0.000127114,0.110793928,0.000113727,0.452044808,0,0,0.845679386,0,0,0.909932127,0,0,0.073227903,0,0.98570304,0,0,0.489789345,0,0,0,0,0,0,0,0,0,0,0,0
reef non piscovores,0.055275342,1.28085E-05,0.059207685,0.038162509,8.70887E-06,4.86083E-05,0.078512682,0.048080335,0.03192891,0.028043976,0.039697532,0.035903259,0.023657179,3.13416E-05,0.033590096,5.66861E-05,0,0.093074843,0.124114494,0,0,0,0,0,0,0.087930969,0,0,0.020742122,0.006466261,0.041652771,0,0,0,0,0,0,0,0,0,0,0,0
SBF,0,0,0,0,0,0,0,0,0,0,0,0,0.001046094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal Omnivores,0.059176907,1.60899E-05,0.055490214,0.026991229,3.59347E-06,4.23703E-05,0.05565381,0.134107822,0.065587167,0.036109867,0.038116164,0.050284917,0.009538504,3.31355E-05,0.090653989,6.07217E-05,0.132035434,0.421311248,0.294299694,0.154320614,0.406007215,0.0117947,0,0.257921956,0.579417205,0.162701526,0.026729652,0.01429696,0.198331394,0.003246186,0.468557885,0.763745226,0.220651783,0.810041158,0.689854455,0.395124284,0,0.039538894,0.349091542,0,0.490223179,0.470707204,0.158541063
Reef Omnivores,0.005530034,9.6885E-07,0.00363626,0.002346464,4.0964E-07,4.52138E-06,0.001871701,0.00176993,0.000959092,0.001994842,0.003160758,0.002038378,0.000669621,2.66472E-06,0.001600153,3.52625E-06,0,0,0,0,0,0,0,0,0,0.005008069,0,0,0,0,0,0,0.362448671,0,0,0,1,0,0,1,0,0,0
Coastal Zooplanktivores,0.005606169,1.81654E-05,0.026031564,0.028230074,7.6716E-05,5.31186E-05,0.032753819,0.007905311,0.285321517,0.001125515,0.105329148,0,0.023436058,0,0.07156033,0.00028546,0,0.306969665,0.308484032,0,0.301781355,0,0,0.540981917,0,0.208166045,0.172325474,0,0.209238444,0,0,0,0,0,0,0,0,0.013453577,0,0,0,0,0
Reef Zooplanktivores,0.207371049,7.80929E-05,0.176860061,0.163581377,2.00353E-05,0.000106427,0.161184429,0.021792599,0.128253236,0.009154661,0.054910714,0.0027981,0.029382965,8.73287E-05,0.058365323,5.34681E-05,0,0.053715495,0,0,0,0,0,0.022949375,0,0.003811317,0,0,0.000529127,0,0,0,0,0,0,0,0,0.00159902,0.370681688,0,0.008923644,0,0
Reef Herbivores,0,0,0.004732387,0.007117525,4.61463E-08,3.59768E-06,0.016483283,0.003422404,0,0.000416512,0.000401266,0.00063144,0.001917243,0.000250241,0.073808643,0.000247248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0